,text,Explanations,labels
654,"“My marriage hasn’t been very good for a long time now.""","Hasn’t been very good,",4
655,"Every day is a constant battle with motivation and negative feelings","battle with motivation, negative feelings",0
656,“After the last abusive attack I was in a state of extreme hyper vigilance 24/7.”,"abusive attack, extreme hyper vigilance ,",3
657,"“i have had treatment resistant depression for 10 years now and recently diagnosed with bipolar depression. I’ve been on 18 different medications, seen a handful of different psychologists and nothing is helping.”","diagnosed with bipolar depression, been on 18 different medications,",3
658,“I feel like a burden and although I have tried I can't go through with suicide.”,"feel like a burden, can't go through with suicide,",2
659,"“I’m not in the financial position to pay $300 per session a week""",financial position,1
660,“I have been burnt out to the point where I would never work regularly in my old job again.”,"Burnt out, work, job",1
661,"""Sometimes feels like it would be easier to give up, but I want to get better.”",Give up,2
662,“I think a lot of the time about suicide. Fantasies mostly. It could be any time or any place.I hate these thoughts. I hate myself for having them. I hate myself for being so weak. I often dream of suicide.”,"think a lot of the time about suicide, hate these thoughts, hate myself, hate myself for being so weak, often dream of suicide,",2
663,"“after recently going through a breakup I’ve hit a wall. I’m struggling to get out of bed , my anxiety is through the roof , I literally have nothing left to give anyone especially myself.”","struggling to get out of bed, anxiety is through the roof,",3
664,“Now I look for help to stop the pain and emptiness and realise it probably is too late to make a difference.”,"look for help, pain and emptiness",2
665,"I feel like my life got stuck at some point, and I ran out of motivation to change it","life got stuck, ran out of motivation",0
666,“Sexually abused for years as a young child. Never been in a relationship. Every guy in my life has told me I'm not good enough.”,"Sexually abused for years, never been in a relationship, told me I’m not good enough,",4
667,“I'm still not sure though because I've had people bully me straight to my face several times”,"Had people bully me straight to my face,",4
668,"I’ve been given negative feedback a few times about my lack of interactions and some people seem to have a problem with me not knowing what has been said/shown to me right away or for not remembering","negative feedback, lack of interactions",0
669,"“I truly am finished trying. I’m done searching for a purpose, searching for relationships-reason. Time and time again life proves to me that it’s nothing but swimming against a current. My life is empty.”","am finished trying, I’m done searching for a purpose, life proves to me that it’s nothing but swimming against a current, My life is empty,",2
670,“I am on my 3rd marriage. Was abused by my first husband and second husband cheated on me.”,"Abused by my first husband, second husband cheated on me,",4
671,"""I can’t eat, I feel sick. I feel so alone it is overwhelming.”","feel sick, feel so alone, overwhelming",5
672,"I started taking it on Friday night and aside from some very slight nausea I hadn’t yet experienced any other side effects. However this morning (Monday) I had a weird feeling in my throat, kind of like a lump","nausea, side effects, weird feeling in throat, lump",3
673,"""I am grieving with a lost of a good friend and a partner.""","grieving,",5
674,"Im currently unemployed and struggling like never before with no assistance from anyone, im scared to end up homeless. I have bills and everyone asking for money yet never able to even get a job interview (obviously causing major depression).","unemployed, no assistance, end up homeless, bills, everyone asking for money, job interview",1
676,"“I was bullied mainly by one girl (we’ll call her B). At the time I was very quiet and shy which is probably why she targeted me. I just wanted to learn and to fit in at school. ""","Bullied mainly by one girl, fit in at school,",4
677,"""I’m so broken and don’t know if I can ever trust him again.”","so broken, don’t know if I can ever trust him again",2
678,"“My boss is emotionally abusive (gaslighting, micromanaging, sexual harassment, manipulation, stonewalling) and would give me and my team unrealistic work projects and expected us to work late nights after work (usually 12 hour days) amongst many other things.""","Boss, abusive, micromanaging, manipulation, unrealistic, work, projects",1
679,“I just feel like next time I'm going to lose it and go absolutely off.”,"feel like next time I'm going to lose it, go absolutely off,",5
680,"“I feel so bad, I know I'm hurting people's feelings by not hanging around them, but I don't want to make them feel like they've done something wrong when it's my fault.”","I’m hurting people’s feelings by not hanging around them,",4
682,"""I don’t know what makes me who I am and often feel down and flat when trying to find answers.""","don’t know what makes me who I am, often feel down and flat,trying to find answers,",0
683,"""I'm affectionate but now feel like an idiot when I approach partner as I get nothing back.""","Feel like an idiot when I approach partner,",4
684,"""Nearly 11 months ago I lost my husband of 25 years. I have gone from 72kgs to 54kgs and I am lost. I have lost a lots of weight""","have gone from 72kgs to 54kgs, have lost a lots of weight, ",3
685,"I am 29 with no active payed work history. I've never wanted to be a apprentice, do a traineeship or anything in construction or the trades. I would struggle with Year 12 VCE and I couldn't be suited for University. ","No active payed work history, struggle, university",1
686,“just worrying about my dad and him being alone. I spend all my time with him . And I’m just struggling to know where I fit back in . I have been gone for so long my friends all have lives of their own”,"Struggling to know where I fit back in, my friends all have lives of their own,",4
687,"“i am scared that if I block him then he would get angry and harm me some other way. I am so scared.Does this end?How do I stop being so scared all the time? I have really good support from my family and friends. Everything else in life is fine.Its just that he won’t leave me alone still""","I am so scared, he won’t leave me alone still, ",4
688,I'm over 30 and just don't have any motivation anymore for anything. Nothing excited me about the future.,"Motivation, excited, future, nothing",0
689,"So for the past year or two I've had really bad cognitive issues, with my memory, concentration, decision-making, everything... I work in a casual hospitality job, which I enjoy very much most of the time, however I am sometimes a little absent-minded- despite trying my hardest- and people get annoyed at me.","cognitive issues, concentration, decision-making, casual, absent-minded, trying",0
690,"“I am in so much pain I actually howled!""",so much pain,3
691,“I know in my heart that I can't handle 5 days a week but my mind is not helping.”,"Mind, not helping, can’t handle",0
692,"""my teenager 17, hates everything I say, too strict, never say anything right and I end up in a screaming conversation with them."" ","Hates everything I say, end up in a screaming conversation with him,",4
693,“why do I think so negative when I put my head on the pillow ? Negative thoughts and not happy ones about our life together next few years first time on”,"think so negative, Negative thoughts and not happy ones,",2
694,“I feel so guilty for letting it go on and on but I feel trapped and powerless. I feel like I’m slowly going insane living in constant fear of his drinking and dysfunctional outbursts. It effects everything in my life as I’m constantly devastated or picking up the pieces (literally).”,"feel so guilty, feel trapped and powerless, feel like I’m slowly going insane, living in constant fear, constantly devastated, dysfunctional outbursts,",2
695,"""My four male cousins, who I am very close with, are all active members of different armies and I'm so terrified that I'm going to get a phone call one day telling me that they've passed away.""","I’m so terrified,",4
696,“I don’t have friends now”,"don’t have friends now,",4
697,"""I have a family member who is going through a separation of relationship of 11 years and they have small children.""","Separation of relationship of 11 years,",4
698,“It has helped me cope without my depression taking over but now I feel guilty. I didn't support my friend as I should have.”,"Feel guilty, didn’t support my friend as I should have,",4
699,"Yet, everyday I just feel empty, no real hope for a future, no interests, nothing I do gives me any level of joy that I can look forward to. I am sick of this never ending feeling of emptyness.","No real hope for a future, no interests",0
700,"I don't know what to do. My only comfort is sleeping. This is an attempt to communicate with anyone","don't know, attempt to communicate",0
701,"“I had suicidal thoughts, have done three weeks in a mental health unit and about to get admitted for second three-week admission.”","had suicidal thoughts, mental health unit, ",3
702,"Everything feels like it's just going to go straight down the toilet so I just don't try for anything anymore. Because of this, my grades have dropped and my mum yells at me about how ""useless"" I am and how I’m ""wasting my talents"" as I used to be relatively smart. (Dad isn't in the picture in case you are wondering). ","Grades have dropped, useless, wasting my talents, relatively smart",0
703,"""I am seeking clarity for my unhappiness, short temper, loneliness as I've been through a few life changes.""","unhappiness, short temper, loneliness, ",2
704,"""I take medications on prescription and over-the-counter pain killers.""","medications on prescription, over-the-counter pain killers,",3
705,"""I'm really alarmed with his psychological state and think he needs help.""","really alarmed, psychological state, ",5
706,“I am starting to experience severe mental health decline. Am I being abusive?”,"Abusive,",4
707,“Messed up with a helplessness and low self esteem indoctrinated by church ‚not good enough’ and paranoia ‚god sees and knows everything”,"Messed up with a helplessness, low self esteem, not good enough, paranoia,",2
708,"“Since his return home, he has been in a depressive state of mind, not doing anything, in bed all day, constantly down and returning to old bad habits.”","not doing anything, in bed all day, old bad habits",3
709,"“My mum has anxiety that is similar to mine. We both mostly get panic symptoms when it comes to showers and going out.""","anxiety, panic symptoms",5
710,“has now no friends because of his behaviours when drinking.”,"Has now no friends,",4
711,"""This happened after an argument, and it felt like she hated me.""","argument, felt like she hated me",4
712,"""I have never had these thoughts before. Sure, I have thought about death, but have always brushed it off because I knew it was not an option, but now it’s different.""","never had these thoughts, thought about death",2
713,“I’m just afraid of how bad it’s going to get before we can leave.”,"afraid, bad, leave",5
714,"“I have trouble communicating with people and engaging with them in general,”","Trouble communicating with people, ",4
715,"""I'm also struggling because in seeking advice from people I love most are saying I should leave him.""","Struggling, ",4
716,"When I’m in a situation where I’m unsure about something or someone points something out to me when I wanted to figure it out in my own time and way, it upsets me tremendously, to the point of feeling worthless, cognitively defective, and sometimes to the point of suicidal feelings","feeling worthless, cognitively defective, suicidal feelings",0
717,“My husband has been suffering from major depression and anxiety for a number of years now. He has had two suicide attempts... It just seems like none of them know what more to do. My husband is desperately miserable.”,"suffering from major depression and anxiety,  two suicide attempts, desperately miserable,",3
718,"""I’m struggling with depression/anxiety I’ve been on antidepressants for quite sometime now. (I’m not even sure they work)""","struggling , depression, anxiety ,",3
719,“They got away with sleeping with anyone they want. I saw them play god with my life without my consent.”,"Got away with sleeping with anyone they want,",4
720,"“It's really really scary to see and sad to see.""","scary, sad",5
721,I have no achievements whatsoever even though I was so bright and had so much potential wasted.,"Achievements, potential waste",0
722,“I want to work but just can't handle it emotionally at the moment. I feel like a letdown and useless.”,"Want to work, feel like a letdown and useless",1
723,"""I currently have a beautiful girlfriend who is the best thing that has ever happened to me but I still have daily thoughts about my ex.""","Still have daily thoughts about my ex,",4
724,"""Her idea of good is not being around. Any statement I make about finance/cost is seen by her as financial blackmail.""","Idea, finance, cost, financial, blackmail",1
725,"""I also don't like the economy today and the expense of living or with education.""","Economy, expense",1
726,"“It feels like everything I do is futile, and anything that may be achieved in our sessions becomes essentially useless once I leave the room.”","Futile, essentially useless",0
727,“I’m just wondering how long it is going to take for me to be able to cope because right now I struggle to get out of bed and feel so broken. I really really miss her and feel so sad when I think of the future without her. I don’t really know what to do anymore.”,"struggle to get out of bed, feel so broken, really really miss her, feel so sad, don’t really know what to do anymore,",5
728,"""I’m just either extremely depressed or cranky.. & I don’t enjoy anything anymore.""","extremely depressed, cranky, don’t enjoy anything anymore",2
729,"""I’m left feeling like I’m quite a boring person with nothing really that interesting to tell anyone.""","left feeling like I’m quite a boring person, nothing really that interesting to tell anyone,",0
730,"""I try to talk with many people before this situation come and after also try to find solutions but I’m failed.""","Try to talk with many people, I’m failed,",4
731,"I never wanted to work the typical industries like hospitality, sales, factory and retail. I've never known anything beyond the limited scope of conventional work and nothing of that seems suitable and desirable for me.","Work, industries, hospitality, conventional work",1
732,"""I honestly don’t remember the last time I was sober since finding her passed away.""","finding her passed away,",5
733,"""I can always go to after-hours clinic but want a General Practitioner who I don't have to explain my health to each time.""",Explain,0
734,“I do not have any self love for myself and when i look in the mirror i just see something gross. its such a horrible feeling. I get married in a few months and I just want to feel happy about myself.”,"do not have any self love for myself, when I look in the mirror I just see something gross, such a horrible feeling, want to feel happy,",2
735,“Common medications I can't take due to blood clots.”,"medications, blood clots",3
736,"I find that a lot of the jobs I am asked to do is because someone else doesn’t want to, or can't be bothered - such as putting their own things and work away, or putting something back once they have used it. I am lucky to have learned some new skills however, that are worthwhile and good to have on a resume. ","Jobs, work away, bothered",1
737,"""There are some side effects that I need to mention. I have noticed some difficulty with my memory.","side effects, difficulty with my memory,",3
738,"""I feel like everyone around me is sick of me, I'm even sick of myself.""","everyone around me is sick of me, sick of myself",2
739,"""the ONLY thing that has stopped me is what it will do to my parents. I recently found out dad has a heart condition. I know it would probably kill him if I was to follow through, which would absolutely destroy my mum.""","What it will do to my parents, absolutely destroy my mother,",4
740,"""The love of my life, my beautiful wife passed away from natural but undetermined causes.""","passed away, undetermined causes",4
741,“I have dealt with Dysthymia since about 12 and Major Depression since about 14 but was not diagnosed until my 40s and had no idea that had been the problem all along.”,"dealt with Dysthymia, was not diagnosed, Major Depression",3
742,"No matter how much I talk to people, I still feel unheard, misunderstood, and trapped in my own emotional struggles.","Unheard, misunderstood, trapped, emotional struggles",5
743,"About 6 years ago my wife left me because I was away for work too much and I took it so badly I tried to take my own life.""","I took it so badly, tried to take my own life,",2
744,“I made it almost half way there and the anxiety kicked in big time and it was long before it was a full blown panic attack. I tried stopping places to calm down and continue on but I just couldn’t do it. I was terrified and exhausted and it just wasn’t safe. I felt physically sick.”,"anxiety kicked in big time, full blown panic attack, physically sick, terrified and exhausted,",3
745,“my get up and go has got up and gone and for the past week in particular I have been super emotional often crying in the car etc.”,"my get up and go has got up and gone, super emotional, often crying,",5
746,"I can’t stop worrying about the future, and it’s making it impossible to focus on the present","can't stop worrying, future, focus, present",0
747,"“I am so torn. I barely sleep, I put her on my bed at night and she is often panting, crying in her sleep or having tremors”","barely sleep, often panting, having tremors,",3
748,"The only thing more terrifying to living and being stuck inside the loop is not having the one person I love and feel so painfully attached to..because I push & break and destroy all that is good and so damn important.. that they will walk away & not want anything to do with me, to not have them near at all. Even though that is probably exactly what I deserve","Not having the one person I love, painfully attached to, walk away",5
749,“I’ve become aware my visual memories and flashbacks are semi distorted regarding the suicide”,"Visual memories and flashbacks, suicide,",3
750,"“I have basically killed all my emotions, i try my hardest to care for as many people as i can because I cant lose another or next it will be me. I try my best to make sure everyone is ok and doing well whilst i’m over here dying and keeping it to myself”","killed all my emotions, cant lose another or next it will be me, dying and keeping it to myself, ",5
751,"“Since March i have been getting random physical symptoms; in particular pins and needles in hands and feet, electric nerve sensations, muscle fatigue, aches and pains ,metallic taste in my mouth , jaw tightness etc. Even my knee joints are clicking all the time which never happened.”"," physical symptoms, pins and needles in hands and feet, electric nerve sensations, muscle fatigue, aches and pains, metallic taste in my mouth, jaw tightness, knee joints are clicking,",3
752,"“The liver disease I have destroys the bile ducts, and I feel like a process of internalised anger over my lifespan is likely responsible for this autoimmune disease.”","liver disease, destroys the bile ducts, autoimmune disease, internalised anger,",3
753,“We don't have the financial resources to send anyone else over to fly back with her when she deems herself ready. ”,financial resources,1
754,"""this speculation is hurting my heart and head and I want someone to tell me the truth.""","hurting my heart and head,",5
755,“I'm tired of that deep hole in my heart weighing me down. I want to die without killing myself. I just wish my physical pain would drown out my mental pain”,"deep hole in my heart, physical pain,",3
756,“I think his passing actually affects me more these days than it did on the day.”,"His passing actually affects me more these days,",4
757,"“It's almost like it's 'normal' and 'all good now' but for me, she has no idea how hard it's been. I did try talking to her about it, but she (understandably) doesn't really get it.""","she (unfortunately) doesn’t really get it,",4
758,“I am sick and tired of not being listened to and sick and tired of my mental health issues being swept under the rug because people find them to complex.”,"Sick and tired of not being listened to, mental health issues being swept under the rug because people find them to complex,",4
759,"""He is paranoid, delusional, makes weird connections between issues with no basis, quick to anger, no sense of self-reflection, struggles to maintain friendships""","struggles to maintain friendships, ",4
760,"Panic, anxiety and total, permanent dread become part of me constant self & state of being. I feel overwhelmed and disorientated.","Panic, anxiety, overwhelmed, disoriented",5
761,"""I've seen so many therapists and I'm tired of being a burden on my family.""",Burden,0
762,"""Obviously this hurt a lot, but I love her unconditionally and gave her the space she needed.""","hurt a lot, ",4
763,“I am currently going through a huge relapse with my Major Depression Disorder. I haven’t been this bad in about a decade.”,"Major depression disorder, ",3
764,“Over the years I have tried to initiate intimacy but I am always rejected.”,"I have tried to initiate intimacy but I am always rejected,",4
765,"""I have bouts of crying all the time.""",bouts of crying,2
766,"""I pray to god every single day to help me overcome my depression and anxiety and I think he does in so many ways. But I can’t overcome it completely and it’s exhausting. My husband and kids deserve so much better.""","depression and anxiety, can’t overcome it, it’s exhausting, deserve so much better,",5
767,“Why can't I just get peace? It's my brain that's broken so why can't my brain fix it?”,"Peace, brain that’s broken,",2
768,“My problem is I am not being able to forgive my in-laws even though they behave in a good way to me sometimes (depends on their mood). My husband showers his love upon them over the phone. I know they are his parents and he must love them. But I feel very angry and disgust towards my husband when he does that.”,"Not being able to forgive my in-laws, feel very angry and disgust towards my husband,",4
769,"“I also find it hard to trust people, which usually leads to me ghosting on people. ”","Find it hard to trust people, ghosting on people,",4
770,"""I feel more isolated with lack of support if something goes wrong.""","Feel more isolated, lack of support, ",4
771,Fighting it everyday for the rest of my life seems exhausting,"Fighting, exhausting",1
772,“I’m kind of desperate for support.”,"desperate for support,",4
773,"""As I find myself sinking to unfamiliar depths, I no longer recognize the person staring back at me.""",sinking to unfamiliar depths,2
774,"""The relationship with my wife has gradually become frustrating."" ","Relationship with my wife, frustrating,",4
775,"""Wife has been unhappy for quite some time, and has previously asked to separate.""","Wife has been unhappy, asked to separate,",4
776,"I can’t figure out how to approach this problem, no matter how much I think about it. Every time I try to break it down, I just end up feeling stuck and confused","can't figure out, problem, feeling stuck, confused",0
777,“I am sick and tired of fighting the illness or illnesses I have.”,"I am sick, tired of fighting the illness,",3
778,“The people I used to be close with have got busy lives and I feel like a burden when I talk to them.It's just me and my problems and my heavy heart”,"Feel like a burden when I talk to them, got busy lives, my heavy heart,",4
779,"""I wish him well but I will not forgive what he did to me.""","I will not forgive what he did to me,",4
780,"“On the surface, people look down on me, thinking I'm spoiled and entitled. But the truth is, I've felt so trapped, misunderstood, embarrassed, and repressed.”","People look down on me, trapped, misunderstood, embarrassed, repressed,",4
781,"“I over think and think that it’s going to lead to something big so I start to shut down and feel all the same emotions.""","over think, feel all the same emotions, start to shut down,",5
782,“Honestly I'm about to have a breakdown. I can't cope anymore.”,"about to have a breakdown, can't cope anymore,",2
783,“I’ve tried keeping up exercising and making friends but my energy has dropped  and I feel like I can’t be bothered anymore.”,"keeping up exercising,  energy has dropped,",3
784,“I am so sad and full of grief from the losses which he understands but the jealousy and resent toward him parenting his other children is driving a wedge between us and our relationship is suffering.”,"Jealousy and resent toward him, our relationship is suffering,",4
785,“My boss is the reason I want to leave (one eg. she blames me for everything - even customers turning up late).”,"Boss, leave",1
786,"“I tried to explain my feelings and thoughts to my partner but she does not understand my needs, nor can she help me. ”","She does not understand my needs,",4
787,“I don’t even like the job… I’m looking at other employment opportunities.”,"Job, employment, opportunities",1
788,“my long past childhood experience of being punished (not sure what for) keeps coming up in my mind and I guess I am thinking it must affect my life day to day”,Punished,5
789,"“I have had flashbacks from a night out in my 20s and I think I might have been sexually abused after I passed out from drinking too much.""","sexually abused, flashbacks",5
790,"“I'm not living and life seems to hard. I haven't worked for 6 years, after having a back injury, I was a nurse of 20 years.”","Hard, worked",1
791,"I worry about not being able to achieve all the goals that I want to accomplish. I worry about everything from career, my body, my life. It makes me feel depressed and I tend to compensate my stress with food which is not healthy either. I just don’t see a light at the end of the tunnel. ","Achieve, goals, accomplish, career",0
792,"My confidence is at an all time low, and in spite of that i still have nothing against constructive criticism, however something that upsets me immensely is when you make a mistake and another person makes you feel like an idiot for it.","Confidence, all time low, constructive criticism, mistake, idiot",0
793,"""Trying to be the Rock to support my wife, kids, mum and my 96-year-old nanna.""","Trying to be the rock to support my wife, kids, mum, ",4
794,“Had a couple recent stints in hospital with a bad heart but nothing wrong with it? All stress on my behalf yep have some prostate issues and some old footy injuries giving me grief”,"recent stints in hospital , have some prostate issues, old footy injuries, grief,",3
795,"I loathe myself for creating doubt, pain and stress , for creating chaos and drama. I don't want to be this person, I don't want to poison the world and the lives around me","Creating doubt, poison the world",5
796,“Neither of us have a support network. She needed to separate from her family. My family are not supportive people. ”,"A support network, my family are not supportive people,",4
797,"""When you live on your own, you're beyond isolated.""","Beyond isolated,",4
798,"I hesitate constantly due to my lack of confidence. My mindset feels weak, and I can't seem to think long-term about anything","hesitate, lack of confidence, feels weak",0
799,""" I withdrew and self isolated. ""","Withdrew, self isolated,",4
800,"""I constantly ruminate and obsess over things that I’ve done in the past and doubt myself to the point where I could pretty much convince myself of anything.""","constantly ruminate and obsess over things, doubt myself",2
801,"“I know I will probably never have the connections and relationships I dream about, so dreaming about it is the only way I can experience it”","Never have the connections and relationships I dream about,",4
802,“I have just become a father and have also had major surgery on my back due to work related injuries.”,"Had major surgery on my back, work related injuries,",3
803,“At this point I fear our marriage is at risk. I find this situation difficult to deal with as I'm helpless thank you”,"I fear our marriage is at risk,",4
804,"""I would like to exercise but even the thought of it makes me tired.”","Thought of it makes me tired,",3
805,"“I feel very lonely, unwanted and unappreciated. I am an introvert by nature and I'm very shy. I'm not the most attractive guy out there, but I do have a good heart and would like to be with someone.”","Feel very lonely, unwanted, unappreciated,",4
806,"“I always think to myself why do I bother with anything and I think it's because I'll continue to try to help myself, but I am worried that I will give up all hope and put myself in a much darker spot.”","bother, worried, give up all hope",2
807,"""This life is so hard, I have a headache right now and its really killing all vibes I had left.""","life is so hard, headache, really killing all vibes",2
809,"""I've been suicidal for such a long time now, it feels like forever.” ","suicidal, feels like forever",2
810,"“I’m drowning in regret, guilt and mental pain. My friends/family all see me as an incredibly strong person that is handling this situation with poise and dignity but behind my closed office door or in the shower I’m a mental mess and I don’t know how to get past feeling like this.”","drowning in regret, guilt and mental pain, mental mess, don’t know how to get past feeling like this,",5
811,“I've literally had the shittiest luck in life.”,"literally had the shittiest luck in life,",2
812,"“i wrote this down because i'm in another extreme emotional downhill, the only thing i can do is self harm and keep crying, really don't know what to do.”","extreme emotional downhill, keep crying, really don't know what to do,",5
813,“I’m so overwhelmed most days I constantly think of ways I can try to run away or escape everything… this isn’t healthy.”,"so overwhelmed, run away. escape everything",0
814,“my Mental health has deteriorated significantly in that time. I think it is getting much worse as I get older actually and the PTSD is debilitating now.”,"Mental health has deteriorated, PTSD is debilitating,",3
815,“Recently I suddenly/unexpectedly lost my younger brother”,"lost my younger brother,",5
816,"“I avoid all social interaction with my family these days, recently everyone of them independently has messed me over in a way that’s left me feeling truly alone.”","Avoid all social interactions, everyone of them independently has messed me over, left me feeling truly alone,",4
817,"“I'm so down, lonely in my thoughts & just feel hopeless & lost.”","so down, lonely in my thoughts, feel hopeless, lost,",5
818,"""I've been getting an inner feeling that my management isn't very good.”",Management,1
819,“Feel like giving up.”,"Feel like giving up,",2
820,"The harder I try, the more independent I become, because my methods appear stranger to others, and the less liked I become. I really don't understand the society in which I live. I wish I wasn't so sad. I often cry uncontrollably and am unable to sleep when I realise I will not achieve my desires and there is nothing I can do about it. My life is apparently meaningless.","independent, less liked, sad, achieve my desires,  meaningless",0
821,"“I hate going out, I never go anywhere  I've not been before. I have arguments with my partner because they won't walk into a new place first especially restaurants incase I do it wrong which often leads to just leaving.”","Have arguments with my partner, ",4
822,“trauma bonding? I think this is what I have with my husband which is why I am unable to leave him even though I know he abuses me...”,"Trauma,",3
823,"“I’ve been diagnosed with PTSD, but not this: when I get super stressed, i do one (randomly) loud hiccup (and only one) that scares the sh*t out of anyone around me”","loud hiccup,",3
824," I try really hard for him, to get better and not show how much I'm struggling because I know it really impacts his wellbeing when I'm in my lows. I love him and don't want him to be sad which is why I haven't done anything yet. I want to try and build a future with him,","try really hard, struggling, build future",0
825,"""My wife, whom I was with for 22 years took her own life, and to make matters worse, I also found her.""","took her own life, to make matters worse, I also found her,",5
826,"""I rebuilt myself back, do everything very normal, feed myself, pay my debts but I lost my job.""","Lost, job, debts",1
827,“every time he says he'll improve but he doesn't. Lately this has escalated to full blown arguments because he keeps saying he’ll stop doing it but the behaviour doesn't change.”,"Full blown arguments, ",4
828,I've been diagnosed with depression by my GP but they are refusing to give me antidepressants because they say I'm too young (I'm 12) ad they're trying to refer to me a 1000 dollar psyc but ik we can't afford it so I'm making my mum not do it.,"diagnosed with depression, give me antidepressants",3
829,"“I still have trauma to heal from, learn to cope with anxiety and depression, finding a purpose in my life and overcoming many many fears.”","have trauma to heal from, cope with anxiety and depression, finding a purpose in my life, overcoming many many fears,",2
830,Since high school it's been 11 years and I’ve only had 9 month's of volunteer because I've had no direction for which jobs I would want to do.,"Volunteer, no direction, jobs",1
831,"I'm a second year university student, and recently I've been experiencing a lots of negative emotions that I'm struggling to cope with. The constant anxiety I'm having with my studies is really impacting me day to days. I'm cyring all nights, nearly everyday. I would be eating and suddenly think of the assignments dueing soon, and immediately lose appetite, with that weird, disguting feeling emerging from my stomach, urging me to continue on study","Negative emotions, struggling, studies, lose appetite, weird, disgusting feeling, continue on study",0
832," ""I was stricken with grief again & in a new relationship with an alcoholic narcissist.""","relationship with an alcoholic narcissist,",4
833,"I feel unable to see any other future. It's terrible feeling so lost when I know I had so much to give. These feelings have being going on for too long now. I hope I'm just lost & all is not yet lost.","unable to see future, terrible feeling, lost",0
834,I'm never not in pain and exhausted. I'm taking each day a step at a time and trying extremely hard not to catastrophise the near future. I want so badly to support myself and get ahead but for every step forward I'm knocked back 5.,catastrophise the near future.,1
835,“I've been in the family court for 5 years with no end in sight.”,"Been in the family court for 5 years,",4
836,“She has said on quite numerous occasions that she might as well be dead and that she should just kill herself.”,"Might as well be dead, kill herself",2
837,"“I am feeling betrayed, hurt, angry and very low.”","feeling betrayed, hurt, angry, very low,",5
838,"""I don't have anyone to speak with.I feel so low that I am no longer communicative at home.""","don't have anyone to speak with, feel so low, no longer communicative at home,",4
839,"“I was molested by a teacher for five years, bullied by students from the age of 4, the bullying turned into physical assaults and what one police detective termed as torture, I was sexually assaulted by a friend's boyfriend at age 13, 16, and raped at age 20.”","molested,bullied, sexually assaulted, raped,",3
840,"""My partner of 10 years, whom I live with: Has depression, anxiety, ADHD, autism, substance abuse (cannabis)""","Partner of 10 years, who I live with has depression, anxiety,",4
841,"""I am battling with trying to understand what is the paranoia and what is his true thoughts.""","Battling with trying to understand what is the paranoia,",4
842,"""I’m struggling big time, all my fault I know.""","struggling big time, all my fault",2
844,"“I have a real issue with judging myself for feeling depressed or having suicidal thoughts, often thinking I am just trying to get attention when I open up about this.” ","judging myself, feeling depressed, having suicidal thoughts, trying to get attention,",5
845,“I am literally lost within this website as well as within myself.”,Lost,2
846,“I have been having less of the really concerning/harmful thoughts but I am still incredibly low and never don't just want to disappear.”,"really concerning,harmful thoughts, incredibly low, don't just want to disappear,",2
847,“I have been suffering from a pretty bad burnout + panic disorder.”,"suffering, burnout",1
848,"""I do like being here but tired all the time making sure children don't miss out on things.""","Tired all the time, miss out",0
849,“At the moment I have a lot of terror all day everyday and then it manifests even when I’m asleep. In the last 5 months I sleep between about 3-6 hours most nights.”,"a lot of terror all day everyday, manifests even when I’m asleep, sleep between about 3-6 hours most nights,",3
850,“I'm still falling apart at work when criticised or feeling judged or triggered by a client (I work in mental health) spiralling into a tunnel of worthlessness and defeat. ”,"Falling apart, work, criticised, judged, triggered, worthlessness, defeat, spiralling",1
851,"""I don't like my generation, not only with modern music, but because I am religious and too rare to relate with their modern secular differences.""","Too rare to relate with their modern secular differences, don’t like my generation,",4
852,"""However, I have my days where I miss him. I wish him well but I will not forgive what he did to me. ""","I miss him, will not forgive what he did to me , ",5
853,"""Last night I had drove away and cried because to this day I still wonder what did I do wrong? Was I not enough.""","drove away and cried,wrong, Was I not enough,",5
854,“I don't belong at work as I am not being included in things”,"Work, not included",1
855,“I struggle with reaching out for help I always have.”,"struggle with reaching out for help,",4
856,"“I was exposed to numerous types of traumatic events throughout my childhood, including sexual abuse and I have been seeking professional help for more than 20 years and have gone undiagnosed until about 3 years ago.”","exposed to numerous types of traumatic events, sexual abuse,",3
857,"""Another bad thing is sometimes I feel my management is all show & no substance.""","management, no substance",1
858,“My mum has severe enough OCD but refuses to talk about it or get help”,"severe OCD ,",3
859,"""Her response 'can I have some privacy', I replied I am your husband, again dead silence, I walked away.”","Replied I am your husband, walked away,",4
860,"“I gave him space for weeks, just occasional texts to check-up on him. I learned that he would talk to some of his friends and family, but just not me. I felt sad because I was very supportive of him but he was shutting me out.”","Gave him space for weeks, learned that he would talk to some of his friends ",4
861,"I feel like I might allow myself to die if I can't see a reason to live or at the very least, feel motivated enough to live. I have people in my life who miss me and be affected by my death, so I'd like to avoid going through with that… But I guess, if I look at what I've been typing, It wouldn't really matter..","Motivated enough to live, really matter",2
862,"In my life I feel like I've never accomplished anything. I've never had a job, im nearly 31. I havent been to uni. I have been in hospital for probably half my adult life due to mental and physical health problems. ","Never accomplished anything, never had a job, haven’t been to uni",0
863,"I’m really anti social so I feel like I won’t be able to say what I wanna say or I’ll say the wrong thing causing them to just dismiss me and move me along without helping. I’m just tired of feeling alone, depressed and just worthless but I’m really scared to talk to them.","Anti social, dismiss me, tired of feeling alone, worthless",4
